,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Category,Outlet_Age
16,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,Medium,Tier 3,Supermarket Type2,7.391963050071823,NC,4
17,9.0,Regular,0.069196376,Breakfast,54.3614,Medium,Tier 1,Supermarket Type1,6.578415029173322,FD,14
18,12.91,Low Fat,0.034237682,Hard Drinks,113.2834,Medium,Tier 3,Supermarket Type3,7.742691910349596,DR,28
19,13.35,Low Fat,0.10249212,Dairy,230.5352,Small,Tier 2,Supermarket Type1,7.919146132236254,FD,9
20,18.85,Regular,0.138190277,Snack Foods,250.8724,High,Tier 3,Supermarket Type1,8.236443302429764,FD,26
21,12.91,Regular,0.035399923,Baking Goods,144.5444,Medium,Tier 3,Supermarket Type3,8.310179649231715,FD,28
22,14.6,Low Fat,0.025698134,Household,196.5084,Small,Tier 2,Supermarket Type1,7.37039888961736,NC,9
23,12.89,Low Fat,0.057556998,Baking Goods,107.6938,Medium,Tier 1,Grocery Store,5.372439195748607,FD,28
24,13.85,Regular,0.025896485,Frozen Foods,165.021,Small,Tier 1,Supermarket Type1,8.31361326825195,FD,16
25,13.0,Low Fat,0.099887103,Household,45.906,Small,Tier 2,Supermarket Type1,6.733292362029665,NC,6
26,7.645,Regular,0.066693437,Snack Foods,42.3112,Small,Tier 2,Supermarket Type1,6.9719312344007,FD,9
27,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,High,Tier 3,Supermarket Type1,5.736350337363997,DR,26
28,5.925,Regular,0.161466534,Dairy,45.5086,Medium,Tier 3,Grocery Store,5.189809681521668,FD,15
29,12.89,Regular,0.072221801,Canned,43.6454,Medium,Tier 1,Grocery Store,4.842896490217898,FD,28
30,19.25,Low Fat,0.170348551,Dairy,55.7956,Medium,Tier 3,Grocery Store,5.10465251718005,FD,15
31,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,Medium,Tier 3,Supermarket Type2,7.916721595888904,NC,4
32,18.7,Low Fat,0.053930934,Snack Foods,256.6672,Medium,Tier 3,Supermarket Type2,8.029109139987389,FD,4
33,17.85,Low Fat,0.053930934,Breads,93.1436,Small,Tier 2,Supermarket Type1,7.685015089220353,FD,11
34,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,Small,Tier 1,Supermarket Type1,7.6431405389407,DR,16
35,10.0,Low Fat,0.089291137,Health and Hygiene,146.7102,Medium,Tier 1,Supermarket Type1,8.240666057319922,NC,14
36,12.91,Regular,0.059511812,Fruits and Vegetables,128.0678,Medium,Tier 3,Supermarket Type3,7.936907301237016,FD,28
37,8.85,Regular,0.113123893,Soft Drinks,122.5388,Medium,Tier 3,Supermarket Type2,7.384551039392579,DR,4
38,12.91,Regular,0.123111453,Snack Foods,36.9874,Medium,Tier 3,Supermarket Type3,5.96399416759279,FD,28
39,12.91,Low Fat,0.026480954,Snack Foods,87.6198,Medium,Tier 3,Supermarket Type3,7.687765700560121,FD,28
40,13.35,Low Fat,0.102511504,Dairy,230.6352,Small,Tier 1,Supermarket Type1,8.142216938353288,FD,16
41,9.8,Low Fat,0.02681843,Meat,126.002,High,Tier 3,Supermarket Type1,7.673936355081979,FD,26
42,13.6,Low Fat,0.117818348,Snack Foods,192.9136,Medium,Tier 1,Supermarket Type1,7.835332794792717,FD,14
43,21.35,Low Fat,0.069102831,Canned,259.9278,Medium,Tier 3,Supermarket Type2,8.820185875977355,FD,4
44,12.15,Regular,0.042277867,Canned,126.5046,High,Tier 3,Supermarket Type1,5.925628651410538,FD,26
45,6.42,Low Fat,0.089498926,Dairy,178.1002,Medium,Tier 3,Grocery Store,5.88388045001317,FD,15
46,19.6,Low Fat,0.053930934,Health and Hygiene,153.3024,Small,Tier 2,Supermarket Type1,7.7955800320656214,NC,11
47,10.0,Low Fat,0.025879577,Canned,265.2226,Small,Tier 2,Supermarket Type1,8.668384731590896,FD,11
48,15.85,Regular,0.121632721,Baking Goods,60.622,Small,Tier 1,Supermarket Type1,7.85463185832182,FD,16
49,12.89,Regular,0.255394896,Dairy,196.8794,Medium,Tier 1,Grocery Store,6.66098172530728,FD,28
50,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,Small,Tier 1,Supermarket Type1,8.050571485017242,NC,16
51,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,High,Tier 3,Supermarket Type1,6.747460227774114,FD,26
52,9.895,Regular,0.028696932,Canned,117.0492,High,Tier 3,Supermarket Type1,6.699431864910897,FD,26
53,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,Small,Tier 2,Supermarket Type1,8.04631570847155,FD,6
54,12.15,Low Fat,0.028760013,Household,151.4708,Small,Tier 2,Supermarket Type1,8.479712608158346,NC,6
55,7.905,Low Fat,0.010053105,Snack Foods,249.0408,Medium,Tier 3,Supermarket Type2,8.741858783837994,FD,4
56,9.195,Low Fat,0.048157338,Household,106.1622,Small,Tier 2,Supermarket Type1,7.658342722547712,NC,11
57,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,Medium,Tier 1,Supermarket Type1,6.682061729183589,DR,14
58,15.1,Low Fat,0.173481304,Snack Foods,194.511,Small,Tier 1,Supermarket Type1,8.499288861213493,FD,16
59,12.89,Low Fat,0.061082177,Canned,180.0344,Medium,Tier 1,Grocery Store,6.794779171512263,FD,28
60,10.0,Low Fat,0.053930934,Fruits and Vegetables,246.9144,Medium,Tier 3,Supermarket Type2,8.066580245806012,FD,4
61,7.97,Regular,0.040071131,Meat,87.3514,Small,Tier 2,Supermarket Type1,6.969430454655927,FD,11
62,12.91,Low Fat,0.012090074,Fruits and Vegetables,38.2848,Medium,Tier 3,Supermarket Type3,6.185596090661295,FD,28
63,12.89,Regular,0.15028599,Frozen Foods,51.0692,Medium,Tier 1,Grocery Store,5.002654196363512,FD,28
64,12.91,Low Fat,0.026015519,Snack Foods,255.8356,Medium,Tier 3,Supermarket Type3,7.841632851776647,FD,28
65,17.7,Low Fat,0.195068226,Snack Foods,185.4266,Medium,Tier 3,Grocery Store,5.222659116411064,FD,15
66,19.35,Low Fat,0.033082215,Meat,172.5738,Small,Tier 2,Supermarket Type1,8.490164464233796,FD,9
67,13.65,Regular,0.078946455,Dairy,186.024,Small,Tier 2,Supermarket Type1,7.0206767385268405,FD,11
68,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,Small,Tier 2,Supermarket Type1,7.742113959496482,DR,11
69,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,Small,Tier 1,Supermarket Type1,7.614983356759096,NC,16
70,15.6,Regular,0.105296072,Snack Foods,170.1764,Small,Tier 1,Supermarket Type1,8.142216938353288,FD,16
71,15.85,Regular,0.121531501,Baking Goods,59.222,High,Tier 3,Supermarket Type1,6.397296254677018,FD,26
72,18.25,Low Fat,0.053930934,Starchy Foods,164.7526,Small,Tier 2,Supermarket Type1,8.435044040080516,FD,11
73,7.855,Low Fat,0.011324862,Canned,189.6188,Small,Tier 2,Supermarket Type1,7.734570042892227,FD,6
74,7.825,Low Fat,0.186357148,Household,254.3698,Medium,Tier 1,Supermarket Type1,8.627255046439146,NC,14
75,8.39,Regular,0.024205661,Frozen Foods,114.0176,Small,Tier 1,Supermarket Type1,7.7368973153479965,FD,16
76,12.85,Low Fat,0.033230816,Snack Foods,172.3422,Medium,Tier 1,Supermarket Type1,7.09680034888645,FD,14
77,12.89,Low Fat,0.113720344,Baking Goods,89.9804,Medium,Tier 1,Grocery Store,6.467951489188129,FD,28
78,19.0,Low Fat,0.112556507,Frozen Foods,104.9622,Small,Tier 2,Supermarket Type1,7.370818000764178,FD,6
79,5.905,Low Fat,0.053930934,Canned,222.5456,Small,Tier 2,Supermarket Type1,8.57661132571922,FD,11
80,7.76,Low Fat,0.059352241,Snack Foods,101.87,Small,Tier 1,Supermarket Type1,7.437671511913667,FD,16
81,11.8,Regular,0.014087057,Frozen Foods,180.3344,Small,Tier 1,Supermarket Type1,7.264362860652083,FD,16
82,16.75,Low Fat,0.045230944,Snack Foods,187.9556,Medium,Tier 3,Supermarket Type2,8.454229962187917,FD,4
83,12.89,Low Fat,0.293417759,Household,194.6136,Medium,Tier 1,Grocery Store,6.370313226611205,NC,28
84,12.91,Regular,0.031382044,Baking Goods,171.3764,Medium,Tier 3,Supermarket Type3,8.036888754547524,FD,28
85,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,Small,Tier 2,Supermarket Type1,7.8161909202534385,FD,6
86,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,Small,Tier 2,Supermarket Type1,7.907454371437515,FD,9
87,12.91,Regular,0.039057677,Breakfast,155.963,Medium,Tier 3,Supermarket Type3,8.097646298741116,FD,28
88,6.305,Regular,0.123115764,Snack Foods,95.6436,Small,Tier 1,Supermarket Type1,6.496481131025555,FD,16
89,20.85,Low Fat,0.039624006,Meat,117.2808,Medium,Tier 1,Supermarket Type1,7.329323631078592,FD,14
90,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,Medium,Tier 3,Grocery Store,5.914904725472544,FD,15
91,8.895,Low Fat,0.105274111,Dairy,39.9138,Medium,Tier 1,Supermarket Type1,6.538768569625618,DR,14
92,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,Small,Tier 2,Supermarket Type1,7.23167404953173,DR,11
93,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,Small,Tier 2,Supermarket Type1,6.4353856529722036,FD,9
94,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,Small,Tier 2,Supermarket Type1,7.150969029635072,NC,9
95,12.89,Low Fat,0.009714595,Frozen Foods,120.0414,Medium,Tier 1,Grocery Store,6.1910643056855195,FD,28
96,12.15,Low Fat,0.131383762,Frozen Foods,246.046,Medium,Tier 1,Supermarket Type1,7.116986501082949,FD,14
97,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,Small,Tier 2,Supermarket Type1,8.231139658839913,FD,9
98,12.91,Low Fat,0.028459761,Household,149.9708,Medium,Tier 3,Supermarket Type3,8.38129401494555,NC,28
99,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,Small,Tier 1,Supermarket Type1,7.18181184438651,FD,16
100,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,Small,Tier 2,Supermarket Type1,7.499229359226499,FD,11
101,12.91,Regular,0.045797829,Snack Foods,178.5344,Medium,Tier 3,Supermarket Type3,7.957159956361889,FD,28
102,8.31,Regular,0.115857223,Snack Foods,179.1028,Medium,Tier 1,Supermarket Type1,8.26802943164612,FD,14
103,16.75,Regular,0.024832806,Soft Drinks,38.7822,High,Tier 3,Supermarket Type1,6.505481174203127,DR,26
104,19.75,Low Fat,0.034027909,Snack Foods,212.0902,Medium,Tier 3,Supermarket Type2,8.066789188471217,FD,4
105,17.1,Regular,0.0467696,Canned,141.1838,High,Tier 3,Supermarket Type1,7.718125694094618,FD,26
106,10.5,Regular,0.116576702,Baking Goods,163.121,High,Tier 3,Supermarket Type1,7.49294468503679,FD,26
107,6.635,Regular,0.053930934,Baking Goods,121.3098,Small,Tier 2,Supermarket Type1,7.836648583780151,FD,11
108,12.89,Low Fat,0.278974075,Soft Drinks,225.372,Medium,Tier 1,Grocery Store,6.522263371856928,DR,28
109,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,High,Tier 3,Supermarket Type1,6.701070535331195,DR,26
110,13.3,Low Fat,0.079806266,Dairy,232.53,Small,Tier 1,Supermarket Type1,6.551208898207379,FD,16
111,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,Small,Tier 2,Supermarket Type1,7.913317338898384,FD,6
112,12.89,Regular,0.064625342,Meat,176.937,Medium,Tier 1,Grocery Store,5.178615616335596,FD,28
113,12.91,Low Fat,0.071636937,Snack Foods,121.7098,Medium,Tier 3,Supermarket Type3,8.318335633448633,FD,28
114,9.1,Regular,0.053930934,Breads,173.2054,Small,Tier 2,Supermarket Type1,8.056077055144213,FD,11
115,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,Medium,Tier 1,Supermarket Type1,8.690013924646816,FD,14
116,16.85,Regular,0.160760054,Frozen Foods,192.4478,Small,Tier 2,Supermarket Type1,8.48563957084695,FD,6
117,7.485,Low Fat,0.06911065,Snack Foods,109.0228,Small,Tier 2,Supermarket Type1,7.841109360342663,FD,9
118,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,Small,Tier 2,Supermarket Type1,7.845289638628091,DR,6
119,11.65,Low Fat,0.040081193,Snack Foods,227.0694,Medium,Tier 3,Supermarket Type2,7.041277796567277,FD,4
120,13.0,Low Fat,0.035307322,Household,47.5034,Small,Tier 2,Supermarket Type1,6.524219358965493,NC,6
121,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,Small,Tier 2,Supermarket Type1,7.6434596197912,DR,11
122,20.25,Regular,0.171938781,Canned,92.512,Medium,Tier 3,Grocery Store,5.233373429907372,FD,15
123,8.6,Regular,0.040197932,Canned,190.153,Small,Tier 2,Supermarket Type1,8.018641269991644,FD,9
124,12.6,Low Fat,0.049058014,Breads,62.7194,Small,Tier 2,Supermarket Type1,6.7660437774509,FD,6
125,17.7,Low Fat,0.01161096,Frozen Foods,95.041,Small,Tier 2,Supermarket Type1,6.768342625598476,FD,9
126,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,Small,Tier 1,Supermarket Type1,7.037191397406722,DR,16
127,19.25,Low Fat,0.102349519,Dairy,52.7956,Small,Tier 2,Supermarket Type1,6.834243498301724,FD,6
128,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,High,Tier 3,Supermarket Type1,6.637704851497861,DR,26
129,20.5,Low Fat,0.032835147,Household,40.2822,Small,Tier 2,Supermarket Type1,6.562556516752542,NC,11
130,12.91,Low Fat,0.033809913,Canned,180.5976,Medium,Tier 3,Supermarket Type3,8.98335123587009,FD,28
131,13.5,Low Fat,0.07266912,Household,160.292,Small,Tier 1,Supermarket Type1,7.271792653591673,NC,16
132,12.91,Low Fat,0.144338493,Health and Hygiene,224.4404,Medium,Tier 3,Supermarket Type3,8.85041047929178,NC,28
133,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,Medium,Tier 3,Grocery Store,4.626947333224356,FD,15
134,7.855,Low Fat,0.011307038,Canned,188.5188,Medium,Tier 3,Supermarket Type2,6.859713534676676,FD,4
135,7.235,Low Fat,0.076855628,Household,116.0492,Small,Tier 1,Supermarket Type1,7.586010320042112,NC,16
136,12.91,Low Fat,0.059956876,Starchy Foods,165.4526,Medium,Tier 3,Supermarket Type3,8.568548291893752,FD,28
137,6.92,Low Fat,0.038532062,Dairy,60.5852,Small,Tier 2,Supermarket Type1,7.18181184438651,FD,11
138,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,Small,Tier 2,Supermarket Type1,6.284699672780699,FD,6
139,18.5,Low Fat,0.056816465,Others,132.1284,Medium,Tier 3,Grocery Store,5.578433892287147,NC,15
140,8.02,Low Fat,0.019866705,Household,154.5972,Small,Tier 2,Supermarket Type1,7.246492662505686,NC,9
141,9.195,Low Fat,0.048331717,Household,105.1622,Small,Tier 2,Supermarket Type1,7.435317186555804,NC,6
142,12.8,Low Fat,0.091221855,Others,105.5938,Small,Tier 2,Supermarket Type1,7.6708370208333125,NC,11
143,16.6,Low Fat,0.027622076,Household,177.6344,Medium,Tier 1,Supermarket Type1,7.892644778027672,NC,14
144,14.0,Regular,0.053930934,Frozen Foods,53.064,Small,Tier 2,Supermarket Type1,6.809577792379763,FD,9
145,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,Medium,Tier 1,Supermarket Type1,8.905363740394149,FD,14
146,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,Small,Tier 2,Supermarket Type1,8.748643140888198,FD,9
147,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,Small,Tier 2,Supermarket Type1,7.377083680312805,NC,9
148,21.25,Low Fat,0.155350299,Snack Foods,178.237,Small,Tier 2,Supermarket Type1,6.273463626903626,FD,9
149,7.235,Low Fat,0.076841095,Household,117.5492,Small,Tier 2,Supermarket Type1,7.586010320042112,NC,9
150,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,Small,Tier 2,Supermarket Type1,6.942787617743714,DR,6
151,13.85,Regular,0.026001976,Frozen Foods,161.521,Medium,Tier 3,Supermarket Type2,7.49294468503679,FD,4
152,13.65,Regular,0.073209447,Frozen Foods,197.6426,Medium,Tier 3,Supermarket Type2,7.926384669299209,FD,4
153,12.91,Low Fat,0.041683481,Soft Drinks,31.29,Medium,Tier 3,Supermarket Type3,6.802205856593669,DR,28
154,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,Small,Tier 1,Supermarket Type1,8.061552479860703,FD,16
155,18.35,Low Fat,0.014081156,Household,223.5746,Medium,Tier 3,Supermarket Type2,8.186184211991133,NC,4
156,5.465,Regular,0.053930934,Baking Goods,132.5626,Medium,Tier 3,Supermarket Type2,5.5733897702400235,FD,4
157,18.6,Low Fat,0.152918384,Breakfast,99.8358,Small,Tier 2,Supermarket Type1,7.5554762359746785,FD,6
158,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,Small,Tier 2,Supermarket Type1,7.440020307440113,DR,6
159,14.0,Regular,0.060376776,Frozen Foods,154.5656,High,Tier 3,Supermarket Type1,7.812964679062614,FD,26
160,14.0,Regular,0.04192285,Snack Foods,54.764,High,Tier 3,Supermarket Type1,7.194887200128437,FD,26
161,12.91,Low Fat,0.077367431,Fruits and Vegetables,97.0094,Medium,Tier 3,Supermarket Type3,7.501070300985557,FD,28
162,5.905,Low Fat,0.045838211,Canned,222.5456,Medium,Tier 3,Supermarket Type2,8.106720767601526,FD,4
163,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,Small,Tier 1,Supermarket Type1,7.870773630394549,DR,16
164,6.155,Regular,0.094659871,Meat,214.556,Small,Tier 1,Supermarket Type1,7.9268653805358165,FD,16
165,19.5,Regular,0.077608838,Soft Drinks,233.4958,Small,Tier 2,Supermarket Type1,8.589700514643262,DR,6
166,15.2,Low Fat,0.021327477,Canned,216.8824,Small,Tier 2,Supermarket Type1,7.9515491902587625,FD,6
167,12.15,Regular,0.042485444,Canned,125.0046,Medium,Tier 3,Supermarket Type2,7.463973530392659,FD,4
168,12.91,Low Fat,0.025578526,Household,198.8084,Medium,Tier 3,Supermarket Type3,8.622712030540242,NC,28
169,12.6,Low Fat,0.0489808,Breads,61.9194,Medium,Tier 3,Supermarket Type2,6.4300323323209385,FD,4
170,14.5,Low Fat,0.019471688,Others,164.821,Small,Tier 2,Supermarket Type1,7.65991307366622,NC,9
171,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,Small,Tier 2,Supermarket Type1,8.249058445700365,FD,6
172,11.8,Regular,0.057373797,Meat,151.4366,High,Tier 3,Supermarket Type1,7.216143540982984,FD,26
173,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,High,Tier 3,Supermarket Type1,8.286647209592282,FD,26
174,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,Medium,Tier 3,Grocery Store,5.848027685481126,FD,15
175,17.85,Low Fat,0.053930934,Breads,196.5794,Medium,Tier 3,Grocery Store,6.37372619162615,FD,15
176,12.3,Regular,0.064750025,Starchy Foods,92.6804,Small,Tier 2,Supermarket Type1,6.919371943502174,FD,11
177,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,Medium,Tier 3,Grocery Store,5.088359007287065,NC,15
178,12.89,Regular,0.191013663,Soft Drinks,42.1112,Medium,Tier 1,Grocery Store,3.775313998100727,DR,28
179,11.1,Low Fat,0.176573035,Baking Goods,157.4604,Small,Tier 2,Supermarket Type1,8.010275787267753,FD,11
180,12.91,Regular,0.060134441,Frozen Foods,153.0656,Medium,Tier 3,Supermarket Type3,8.7036990484697,FD,28
181,11.3,Low Fat,0.007294652,Meat,198.1426,Small,Tier 2,Supermarket Type1,6.897415002109901,FD,11
182,12.89,Low Fat,0.128478462,Health and Hygiene,117.944,Medium,Tier 1,Grocery Store,5.483501488955468,NC,28
183,5.75,Regular,0.075107656,Dairy,112.8176,High,Tier 3,Supermarket Type1,7.2263625983054,FD,26
184,12.91,Regular,0.049381406,Baking Goods,226.8062,Medium,Tier 3,Supermarket Type3,8.463967547031883,FD,28
185,11.35,Regular,0.045165796,Snack Foods,100.0016,Medium,Tier 3,Supermarket Type2,6.920687298793248,FD,4
186,12.89,Regular,0.09415375,Fruits and Vegetables,165.7526,Medium,Tier 1,Grocery Store,6.490435784456965,FD,28
187,14.0,Low Fat,0.028907832,Health and Hygiene,130.431,Medium,Tier 1,Supermarket Type1,6.659275970804608,NC,14
188,19.75,Regular,0.018059621,Frozen Foods,179.766,Small,Tier 2,Supermarket Type1,7.757033177798801,FD,11
189,6.525,Low Fat,0.090436094,Household,85.0882,Medium,Tier 1,Supermarket Type1,7.711590697648821,NC,14
190,10.3,Low Fat,0.146399712,Meat,103.9648,Medium,Tier 1,Supermarket Type1,7.416280338478307,FD,14
191,5.78,Regular,0.074264356,Snack Foods,264.7568,Medium,Tier 1,Supermarket Type1,8.465230704748418,FD,14
192,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,Small,Tier 2,Supermarket Type1,8.0473813517777,FD,11
193,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,Medium,Tier 3,Supermarket Type2,6.149304698172492,FD,4
194,12.91,Low Fat,0.01561108,Household,182.5976,Medium,Tier 3,Supermarket Type3,8.531437813341336,NC,28
195,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,Small,Tier 1,Supermarket Type1,6.294582372985006,FD,16
196,19.0,Regular,0.097313129,Frozen Foods,48.0718,Small,Tier 1,Supermarket Type1,6.901443199658056,FD,16
197,14.6,Low Fat,0.059582996,Others,238.8538,Medium,Tier 1,Supermarket Type1,8.701154236847259,NC,14
198,12.91,Regular,0.098663652,Dairy,62.9194,Medium,Tier 3,Supermarket Type3,7.652668951953786,FD,28
199,12.91,Regular,0.101338651,Canned,232.63,Medium,Tier 3,Supermarket Type3,8.586847977122963,FD,28
200,18.75,Low Fat,0.052146456,Health and Hygiene,104.628,Small,Tier 2,Supermarket Type1,6.615658141123598,NC,11
201,5.26,Regular,0.041764487,Baking Goods,161.8868,Small,Tier 2,Supermarket Type1,8.094603083964397,FD,9
202,18.25,Low Fat,0.054344186,Snack Foods,140.2154,Small,Tier 2,Supermarket Type1,7.440020307440113,FD,11
203,12.91,Low Fat,0.078362484,Baking Goods,177.937,Medium,Tier 3,Supermarket Type3,8.810699171944924,FD,28
204,15.1,Low Fat,0.052339069,Meat,242.7512,Small,Tier 1,Supermarket Type1,8.323843948590381,FD,16
205,15.5,Regular,0.042464962,Baking Goods,81.5934,Medium,Tier 3,Grocery Store,5.794760861535742,FD,15
206,13.65,Low Fat,0.065732883,Frozen Foods,45.7402,Medium,Tier 1,Supermarket Type1,6.661833512698519,FD,14
207,16.1,Low Fat,0.023625114,Soft Drinks,189.3846,Small,Tier 2,Supermarket Type1,8.197430639164873,DR,11
208,12.89,Regular,0.051643608,Snack Foods,107.3622,Medium,Tier 1,Grocery Store,5.763894337583283,FD,28
209,12.85,Low Fat,0.165694219,Frozen Foods,39.7164,Medium,Tier 3,Grocery Store,5.449743194478849,FD,15
210,9.5,Low Fat,0.041878397,Soft Drinks,32.99,Small,Tier 2,Supermarket Type1,4.8990331175149535,DR,9
211,13.8,Low Fat,0.058091482,Dairy,245.1802,Small,Tier 2,Supermarket Type1,8.639701861431043,DR,9
212,5.78,Regular,0.053930934,Snack Foods,263.7568,Small,Tier 2,Supermarket Type1,7.877612559442493,FD,6
213,19.7,Low Fat,0.026903714,Household,96.0726,Small,Tier 2,Supermarket Type1,7.149401632794016,NC,11
214,14.65,Low Fat,0.053930934,Household,161.5552,Medium,Tier 3,Grocery Store,5.786622496963685,NC,15
215,6.67,Regular,0.150554711,Snack Foods,130.0626,Medium,Tier 3,Grocery Store,4.884032982702641,FD,15
216,6.11,Regular,0.053930934,Fruits and Vegetables,131.2968,Medium,Tier 3,Grocery Store,5.568320075981825,FD,15
217,13.65,Regular,0.134975628,Frozen Foods,260.0936,Medium,Tier 3,Grocery Store,5.568320075981825,FD,15
218,17.2,Low Fat,0.15616879,Meat,160.6578,High,Tier 3,Supermarket Type1,8.213796122709685,FD,26
219,6.32,Low Fat,0.053930934,Meat,40.2822,Small,Tier 2,Supermarket Type1,7.038944756462868,FD,9
220,4.88,Regular,0.133700752,Baking Goods,52.9298,Medium,Tier 1,Supermarket Type1,7.599102139938826,FD,14
221,5.425,Regular,0.115119905,Baking Goods,88.3514,Small,Tier 2,Supermarket Type1,7.256877452421518,FD,6
222,15.85,Regular,0.110030997,Frozen Foods,37.2506,Small,Tier 1,Supermarket Type1,5.585952687907002,FD,16
223,7.5,Low Fat,0.051038045,Canned,121.7072,Small,Tier 2,Supermarket Type1,8.175747069510738,FD,6
224,12.65,Low Fat,0.062837968,Soft Drinks,161.5578,High,Tier 3,Supermarket Type1,7.786496572345198,DR,26
225,12.89,Low Fat,0.017116983,Others,211.956,Medium,Tier 1,Grocery Store,5.366237663032016,NC,28
226,20.75,Low Fat,0.024129332,Fruits and Vegetables,124.173,High,Tier 3,Supermarket Type1,7.991981921980807,FD,26
227,12.89,Low Fat,0.049754975,Dairy,152.134,Medium,Tier 1,Grocery Store,5.03782235394022,DR,28
228,9.0,Low Fat,0.053930934,Canned,79.7644,Small,Tier 2,Supermarket Type1,7.409047039560261,FD,9
229,12.91,Low Fat,0.101561568,Canned,181.9292,Medium,Tier 3,Supermarket Type3,8.039897890429007,FD,28
